2054,2061,48.255781434,-1.5472014216,29.1221,0
2067,2072,48.255892864,-1.5497828482,29.3142,0
2097,2100,48.255449994,-1.5552999366,29.7322,0
2149,2147,48.249269975,-1.5581549385,30.4619,0
2157,2154,48.248259997,-1.5582299985,30.5783,0
2169,2164,48.24680501,-1.5581182957,30.7412,0
2188,2182,48.244410021,-1.5583499435,31.0096,0
2202,2199,48.242789967,-1.5596199695,31.2154,0
2212,2212,48.24281,-1.5614699393,31.3561,0
2220,2221,48.241779948,-1.5612599727,31.4723,0
2231,2235,48.24051998,-1.5621999193,31.6319,0
2245,2248,48.239829982,-1.5646300006,31.8281,0
